hash,msg,is_bugfix,n_files
5c7b04122a0411df41d7abd52e54b4080357ea80,"Added DATABASE_PASSWORD stub to project_template/settings/main

git-svn-id: http://code.djangoproject.com/svn/django/trunk@81 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
fd5b0fa55cb68a1cb1749d80cef5112234e9a6fa,"Added project_template.settings.admin

git-svn-id: http://code.djangoproject.com/svn/django/trunk@82 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
03f72b629d09c962a9b0056cdf9940fb4382ced6,"Fixed small bug in auto-generated comment in project_template.settings.main

git-svn-id: http://code.djangoproject.com/svn/django/trunk@83 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,2
3eaa0cf1263a67291e04c2362b64bf725f38d0bb,"Changed docs/install to point out that you need Python DB bindings

git-svn-id: http://code.djangoproject.com/svn/django/trunk@84 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
97daa07bfe57a4f6e217d64d64cd1d99892b566a,"Added clarification about psycopg version 1, not version 2

git-svn-id: http://code.djangoproject.com/svn/django/trunk@85 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8c61d243df8f954b914f2a28bf5a956f13ddee28,"Fixed tiny formatting bug in install.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@86 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
0a35fce98ac118bcc8269e0cc330956399f38bd2,"Changed 'django-admin startapp' so that it try to write to INSTALLED_APPS magically. Also changed 'django-admin sqlclear' to reverse the output

git-svn-id: http://code.djangoproject.com/svn/django/trunk@87 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
dc5f2506d1f8a196459e72ffa871877a40902b53,"Changed 'django-admin sqlclear' to output deletion of content_types table now that we're not using ON DELETE CASCADE anymore

git-svn-id: http://code.djangoproject.com/svn/django/trunk@88 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
8d0610d054e3f75f4343aab0bbaf64209a030711,"Gave django.core.meta.Model a repr(), as a fallback

git-svn-id: http://code.djangoproject.com/svn/django/trunk@89 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
07c8a965b675ae7b3047c60f2f156a8840de6c8b,"Fixed small typo in overview

git-svn-id: http://code.djangoproject.com/svn/django/trunk@90 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
40b8afaf324ee70bc753f74d6b450b3cbb7371ee,"Added ROOT_URLCONF and MIDDLEWARE_CLASSES to project_template.settings.admin

git-svn-id: http://code.djangoproject.com/svn/django/trunk@91 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
52f5c949e9b50ae3b0034d67f2d385219588aaf1,"Added default Django admin templates

git-svn-id: http://code.djangoproject.com/svn/django/trunk@92 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,20
d095db81f5167a4e40c6eb60eb9557152c781cb6,"'django-admin.py init' now creates a site in the sites table, and project_template.settings.main.SITE_ID is now set to 1

git-svn-id: http://code.djangoproject.com/svn/django/trunk@93 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
635220c5cca60d512da5f41f99da54b4a4acca3b,"Moved default admin templates from templates.admin to django.conf.admin_templates

git-svn-id: http://code.djangoproject.com/svn/django/trunk@94 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,20
c0daa77ea642d62a1742f520e3208db6a531b61c,"django-admin.py startproject now automatically points admin TEMPLATE_DIRS setting at the location of the default admin templates

git-svn-id: http://code.djangoproject.com/svn/django/trunk@95 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
dd5320d1d56ca7603747dd68871e72eee99d9e67,"Added admin media to the Django distribution

git-svn-id: http://code.djangoproject.com/svn/django/trunk@96 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,53
d30ffb4db6a687171fb000877e9d0d9654165742,"Added docs/tutorial.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@97 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
a5a3eca7571126496f31286b91524106d5757c28,"Fixed a bunch of ReST-related bugs in docs/tutorial.txt and made some improvements

git-svn-id: http://code.djangoproject.com/svn/django/trunk@98 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
e327294ade76c6b042543b455b647639db6b5093,"Renamed docs/tutorial.txt to docs/tutorial01.txt in preparation for the long list of extremely helpful tutorials

git-svn-id: http://code.djangoproject.com/svn/django/trunk@99 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
451cdae8aef13dbafcdd5a02c5d16aa1d38a4d49,"Added link to installation guide from docs/tutorial01.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@100 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
2b40dee38dee47a58ce2da61002bf9e42bf20761,"Changed django-admin so that it doesn't load django.core.db or django.core.meta unless it needs to. As a result, 'django-admin startproject' works even if the database parameters are set incorrectly

git-svn-id: http://code.djangoproject.com/svn/django/trunk@101 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
fca9ba3f8cd556e49ad4f2f375a2dd3bf3730a93,"Set executable bit on django-admin.py

git-svn-id: http://code.djangoproject.com/svn/django/trunk@102 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
edba7a435f983ec52d61af0384c5c8e89bb8b495,"Broadened scope of admin docs


git-svn-id: http://code.djangoproject.com/svn/django/trunk@103 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
b4168db4afdc534d06f2bb022f334994facbfedf,"Changed tutorial01 so that it explicitly says: Make sure you've already created the database

git-svn-id: http://code.djangoproject.com/svn/django/trunk@104 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
f69ce6c2b322db37785d747e03cdafdf78939ab0,"django.conf.settings now fails loudly if DJANGO_SETTINGS_MODULE is broken in any way.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@105 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
90494777388b53e124c1cc2d00202affae786117,"Changed [105] to match our code standards

git-svn-id: http://code.djangoproject.com/svn/django/trunk@106 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
470db1208d5f6983afeaa4c60a89e7498d80144c,"Changed docs/install.txt to add a short description of what mod_python is, and a link to the WSGI PEP

git-svn-id: http://code.djangoproject.com/svn/django/trunk@107 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
68baafc1100ceae5c8073975f8561e101a4ec1a4,"Added ADMIN_MEDIA_PREFIX setting instead of hard-coding /m/

git-svn-id: http://code.djangoproject.com/svn/django/trunk@108 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,5
361be49fe7cd944606c71b772c9407a732848b60,"Changed postgresql DB backend so that it gives a helpful error message if people are using psycopg 2 instead of version 1

git-svn-id: http://code.djangoproject.com/svn/django/trunk@109 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
5721396426cecd9fb172aa1acd27e54da7c67c8c,"Fixed inconsistent capitalization in [109]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@110 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
fca1ef1d15650d6c2d5b9a35597f057004729ea4,"Rolled comments from install and faq pages into those docs.

git-svn-id: http://code.djangoproject.com/svn/django/trunk@111 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
058c526ef9995fa54d64f5e6362c9f93a935fbb0,"Rolled comments from template page into FAQ

git-svn-id: http://code.djangoproject.com/svn/django/trunk@112 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
caef61945ded51a7a3955e3089cc071de99b8942,"Fixed #39 -- Thanks for the research, deelan!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@113 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
31cd933263ed31e9059de7d6e3f8fa2c52e7e273,"Copy-edited docs/faq.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@114 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
87b7703bd354dbeba6ccca9093a06db49fd66555,"Fixed bug in template example in docs/overview.txt -- thanks, pbx!

git-svn-id: http://code.djangoproject.com/svn/django/trunk@115 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
8cb4eeeafea867d6434c216a0b900711e634de46,"Changed delete_stage admin view to run strip_tags on repr() of object to be deleted

git-svn-id: http://code.djangoproject.com/svn/django/trunk@116 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
6aa49f26759089ffd2f9d0952c12c670e3e3094a,"Added missing images, updated copyright on stylesheets


git-svn-id: http://code.djangoproject.com/svn/django/trunk@117 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,4
e6a39617e584b7f942b7b5c028bc54dab1888579,"Removed unneeded images


git-svn-id: http://code.djangoproject.com/svn/django/trunk@118 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
980b3ce696b52c73064193dcd9b9f63ae067b56a,"One more extra image.


git-svn-id: http://code.djangoproject.com/svn/django/trunk@119 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
60bdadb9a3464a7f1f322655dc32d6a33d754be7,"Moved django.core.handler.ImproperlyConfigured into django.core.exceptions

git-svn-id: http://code.djangoproject.com/svn/django/trunk@120 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
b9ec05d4c03d111fb2846645fc12a9bb0d361388,"Fixed formatting in admin css docs


git-svn-id: http://code.djangoproject.com/svn/django/trunk@121 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
1e0fb3b7a3250a96869d598526be285e6f2a4fcd,"Added helpful error message if DATABASE_NAME or DATABASE_USER is blank for postgresql

git-svn-id: http://code.djangoproject.com/svn/django/trunk@122 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
820e12dac6ab8ee7fa46a2b27da3575b094bf2bb,"Temporarily commented-out the link to 'forgotten your password?' on the default admin login.html template

git-svn-id: http://code.djangoproject.com/svn/django/trunk@123 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
a22f823e0034bf607b841bd704cfd4d2cc6621a1,"More installation streamlining: Added default urlconfs, for both main and admin, to project_template. Changed ROOT_URLCONF in default main and admin settings to point at their respective default urlconfs

git-svn-id: http://code.djangoproject.com/svn/django/trunk@124 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,5
d9e5a4ea5bee99cb3b3d24722e51c56021dd4545,"Removed an unneeded line of code in django/templatetags/adminmedia.py

git-svn-id: http://code.djangoproject.com/svn/django/trunk@125 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
a2a7fd0b824c76a6c599b731ca6505873d4195dd,"Added help_text to auth.User.password_md5

git-svn-id: http://code.djangoproject.com/svn/django/trunk@126 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
cfcf3ca1e3fc116388e9f95064acc0cf2233a93f,"More installation streamlining/automation: Added adminapplist templatetag library and changed the default admin index.html template to display all installed apps that have admins

git-svn-id: http://code.djangoproject.com/svn/django/trunk@127 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,2
82f04688014ff309e1744d76f0cc09ad69fc8db8,"Changed generic admin changelist to order by ID if no other ordering is specified, rather than raising a scary exception

git-svn-id: http://code.djangoproject.com/svn/django/trunk@128 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
c012d6ccf1b4d4b73c0e2633d14e70fe8f04d252,"Added first part of docs/tutorial02.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@129 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
f926982800cd32fc136e4f60719e8ef5c03ae217,"Fixed ReST errors in docs/tutorial02.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@130 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
2b681e9203a8e7adc1f7b789a6060aa9e37ebea4,"Changed FAQ 'Who's behind this' to give our locations

git-svn-id: http://code.djangoproject.com/svn/django/trunk@131 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
364f3704b0cce0d147336ae2d9328ea95e152b63,"Added two admin login-related questions to the FAQ

git-svn-id: http://code.djangoproject.com/svn/django/trunk@132 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
4211bcb43767b66e65599f7f3e38cdb52cd44243,"Added an example to one of the FAQ answers from [132]

git-svn-id: http://code.djangoproject.com/svn/django/trunk@133 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
81215d79330507b26291d3347279b9c718da9fac,"Improved tutorial02 to discuss login errors, linking to the FAQ

git-svn-id: http://code.djangoproject.com/svn/django/trunk@134 bcc190cf-cafb-0310-a4f2-bffc1f526a37",True,1
d0e5eab6572b54ddb7c52d8afea1c3786e95ab2f,"Added missing admin images (for real this time)


git-svn-id: http://code.djangoproject.com/svn/django/trunk@135 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,3
5e309eb6e4e140590fb4567b138325bbab7eca71,"Copy-edited model-API docs

git-svn-id: http://code.djangoproject.com/svn/django/trunk@136 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
af86b4e4b1a8a22dc8458bb0874ce2754ea85a6d,"Added 'Adding related objects' section to docs/tutorial02.txt

git-svn-id: http://code.djangoproject.com/svn/django/trunk@137 bcc190cf-cafb-0310-a4f2-bffc1f526a37",False,1
